K: 1 	 43m 34s
K: 5 	 48m 37s
K: 0 	 47m 10s
K: 10 	 36m 59s
K: 20 	 36m 33s
K: 30 	 36m 30s
K: 40 	 36m 33s
K: 50 	 36m 33s
K: 60 	 36m 33s
K: 70 	 36m 32s
K: 80 	 36m 32s
K: 90 	 36m 36s
K: 100 	 36m 31s
K: 110 	 36m 31s
K: 120 	 36m 34s
K: 130 	 36m 33s
K: 140 	 36m 34s
K: 150 	 36m 34s
K: 160 	 36m 33s
K: 170 	 36m 33s
K: 180 	 36m 36s
K: 190 	 36m 39s
K: 200 	 36m 37s
K: 210 	 36m 40s
K: 220 	 36m 34s
K: 230 	 36m 37s
K: 240 	 40m 4s
K: 250 	 40m 46s
K: 260 	 45m 35s
K: 270 	 46m 53s
K: 280 	 38m 42s
K: 290 	 36m 55s
K: 300 	 46m 9s
