Test set: Average loss: 0.1366, Accuracy: 9563/10000 (95.630%)

Test set: Average loss: 0.0921, Accuracy: 9720/10000 (97.200%)

Test set: Average loss: 0.0754, Accuracy: 9757/10000 (97.570%)

Test set: Average loss: 0.0635, Accuracy: 9798/10000 (97.980%)

Test set: Average loss: 0.0568, Accuracy: 9822/10000 (98.220%)

Test set: Average loss: 0.0509, Accuracy: 9830/10000 (98.300%)

Test set: Average loss: 0.0474, Accuracy: 9851/10000 (98.510%)

Test set: Average loss: 0.0460, Accuracy: 9847/10000 (98.470%)

Test set: Average loss: 0.0435, Accuracy: 9864/10000 (98.640%)

Test set: Average loss: 0.0419, Accuracy: 9867/10000 (98.670%)

Test set: Average loss: 0.0375, Accuracy: 9880/10000 (98.800%)

Test set: Average loss: 0.0373, Accuracy: 9879/10000 (98.790%)

Test set: Average loss: 0.0393, Accuracy: 9876/10000 (98.760%)

Test set: Average loss: 0.0364, Accuracy: 9887/10000 (98.870%)

Test set: Average loss: 0.0335, Accuracy: 9896/10000 (98.960%)

Test set: Average loss: 0.0332, Accuracy: 9893/10000 (98.930%)

Test set: Average loss: 0.0332, Accuracy: 9901/10000 (99.010%)

Test set: Average loss: 0.0327, Accuracy: 9903/10000 (99.030%)

Test set: Average loss: 0.0318, Accuracy: 9892/10000 (98.920%)

Test set: Average loss: 0.0302, Accuracy: 9901/10000 (99.010%)

Test set: Average loss: 0.0304, Accuracy: 9901/10000 (99.010%)

Test set: Average loss: 0.0324, Accuracy: 9903/10000 (99.030%)

Test set: Average loss: 0.0311, Accuracy: 9908/10000 (99.080%)

Test set: Average loss: 0.0300, Accuracy: 9905/10000 (99.050%)

Test set: Average loss: 0.0298, Accuracy: 9911/10000 (99.110%)

Test set: Average loss: 0.0333, Accuracy: 9896/10000 (98.960%)

Test set: Average loss: 0.0316, Accuracy: 9902/10000 (99.020%)

Test set: Average loss: 0.0288, Accuracy: 9908/10000 (99.080%)

Test set: Average loss: 0.0308, Accuracy: 9899/10000 (98.990%)

Test set: Average loss: 0.0311, Accuracy: 9899/10000 (98.990%)

Test set: Average loss: 0.0289, Accuracy: 9911/10000 (99.110%)

Test set: Average loss: 0.0305, Accuracy: 9906/10000 (99.060%)

Test set: Average loss: 0.0304, Accuracy: 9906/10000 (99.060%)

Test set: Average loss: 0.0280, Accuracy: 9914/10000 (99.140%)

Test set: Average loss: 0.0280, Accuracy: 9908/10000 (99.080%)

Test set: Average loss: 0.0284, Accuracy: 9906/10000 (99.060%)

Test set: Average loss: 0.0276, Accuracy: 9907/10000 (99.070%)

Test set: Average loss: 0.0287, Accuracy: 9904/10000 (99.040%)

Test set: Average loss: 0.0276, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0267, Accuracy: 9918/10000 (99.180%)

Test set: Average loss: 0.0284, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0271, Accuracy: 9910/10000 (99.100%)

